genus,family,order,group,county,county_lat,county_lon,order_copo,family_copo,genus_copo,taxon_name,collector_number,latitude_decimal,longitude_decimal,collection_date_verbatim
Medicago,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Medicago,Medicago sativa,MC9281,51.4361,-0.3215,2021-08-17
Trifolium,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Trifolium,Trifolium arvense,MC9282,51.4361,-0.3215,2021-08-17
Lepidium,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Lepidium,Lepidium draba,MC9186,51.4376,-0.3228,2021-05-17
Trifolium,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Trifolium,Trifolium pratense,MC9187,51.4376,-0.3228,2021-05-17
Ranunculus,Ranunculaceae,Ranunculales,Angiosperms,,,,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus bulbosus,MC9136,51.4381,-0.3228,2021-04-06
Berberis,Berberidaceae,Ranunculales,Angiosperms,,,,Ranunculales,Berberidaceae,Berberis,Berberis aquifolium,MC9137,51.4395,-0.3222,2021-04-06
Acer,Sapindaceae,Sapindales,Angiosperms,,,,Sapindales,Sapindaceae,Acer,Acer pseudoplatanus,MC9185,51.4467,-0.3112,2021-05-17
Acer,Sapindaceae,Sapindales,Angiosperms,,,,Sapindales,Sapindaceae,Acer,Acer campestre,MC 9097,51.4469,-0.2989,2020-09-08
Ilex,Aquifoliaceae,Aquifoliales,Angiosperms,,,,Aquifoliales,Aquifoliaceae,Ilex,Ilex aquifolium,MC 9098,51.4469,-0.2989,2020-09-08
Hedera,Araliaceae,Apiales,Angiosperms,,,,Apiales,Araliaceae,Hedera,Hedera helix,MC 9099,51.4469,-0.2989,2020-09-08
Silene,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Silene,Silene dioica,MC9172,51.447,-0.2989,2021-05-10
Silene,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Silene,Silene latifolia,MC9173,51.447,-0.2989,2021-05-10
Alliaria,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Alliaria,Alliaria petiolata,MC9174,51.447,-0.2989,2021-05-10
Crataegus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Crataegus,Crataegus monogyna,MC9175,51.447,-0.2989,2021-05-10
Geranium,Geraniaceae,Geraniales,Angiosperms,,,,Geraniales,Geraniaceae,Geranium,Geranium dissectum,MC9183,51.447,-0.2989,2021-05-17
Knautia,Caprifoliaceae,Dipsacales,Angiosperms,,,,Dipsacales,Caprifoliaceae,Knautia,Knautia arvensis,MC9184,51.447,-0.2989,2021-05-17
Carpinus,Betulaceae,Fagales,Angiosperms,,,,Fagales,Betulaceae,Carpinus,Carpinus betulus,MC9157,51.4476,-0.299,2021-04-27
Petasites,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Petasites,Petasites fragrans,MC9124,51.4477,-0.2977,2021-03-09
Pentaglottis,Boraginaceae,Boraginales,Angiosperms,,,,Boraginales,Boraginaceae,Pentaglottis,Pentaglottis sempervirens,MC9130,51.4477,-0.2977,2021-03-22
Anthriscus,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Anthriscus,Anthriscus sylvestris,MC9131,51.448,-0.2991,2021-03-22
Veronica,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Veronica,Veronica hederifolia,MC9132,51.448,-0.2991,2021-03-22
Ficaria,Ranunculaceae,Ranunculales,Angiosperms,,,,Ranunculales,Ranunculaceae,Ficaria,Ficaria verna,MC9121,51.4481,-0.2989,2021-03-09
Lamium,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Lamium,Lamium album,MC 9071,51.4488,-0.3055,2020-09-02
Primula,Primulaceae,Ericales,Angiosperms,,,,Ericales,Primulaceae,Primula,Primula vulgaris,MC9123,51.4501,-0.3,2021-03-09
Impatiens,Balsaminaceae,Ericales,Angiosperms,,,,Ericales,Balsaminaceae,Impatiens,Impatiens glandulifera,MC 9095,51.4529,-0.3026,2020-09-07
Sorbus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Sorbus,Sorbus anglica,MC9193,51.4716,-0.298,2021-05-17
Sorbus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Sorbus,Sorbus aria,MC9194,51.4716,-0.298,2021-05-17
Sorbus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Sorbus,Sorbus rupicola,MC9195,51.4716,-0.298,2021-05-17
Sorbus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Sorbus,Sorbus devoniensis,MC9196,51.4716,-0.298,2021-05-17
Lamium,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Lamium,Lamium amplexicaule,MC9189,51.472,-0.2983,2021-05-17
Achillea,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Achillea,Achillea millefolium,MC9293,51.4725,-0.2945,2021-08-23
Fumaria,Papaveraceae,Ranunculales,Angiosperms,,,,Ranunculales,Papaveraceae,Fumaria,Fumaria muralis,MC 9008,51.4725,-0.3035,2020-08-05
Urtica,Urticaceae,Rosales,Angiosperms,,,,Rosales,Urticaceae,Urtica,Urtica urens,MC 9011,51.4725,-0.3035,2020-08-05
Urtica,Urticaceae,Rosales,Angiosperms,,,,Rosales,Urticaceae,Urtica,Urtica dioica,MC 9012,51.4725,-0.3035,2020-08-05
Karpatiosorbus,,,,,,,Rosales,Rosaceae,Karpatiosorbus,Karpatiosorbus bristoliensis,MC9338,51.4727,-0.3019,2022-05-06
Ulmus,Ulmaceae,Rosales,Angiosperms,,,,Rosales,Ulmaceae,Ulmus,Ulmus procera,MC9336,51.4733,-0.3066,2022-05-06
Conopodium,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Conopodium,Conopodium majus,MC9337,51.4733,-0.3066,2022-05-06
Prunus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Prunus,Prunus domestica,MC9145,51.4735,-0.2956,2021-04-11
Glechoma,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Glechoma,Glechoma hederacea,MC9147,51.4735,-0.2956,2021-04-11
Hedera,Araliaceae,Apiales,Angiosperms,,,,Apiales,Araliaceae,Hedera,Hedera hibernica,MC9296,51.4737,-0.2931,2021-08-23
Symphytum,Boraginaceae,Boraginales,Angiosperms,,,,Boraginales,Boraginaceae,Symphytum,Symphytum officinale,MC9314,51.4737,-0.2933,2022-04-05
Claytonia,Montiaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Montiaceae,Claytonia,Claytonia perfoliata,MC9190,51.474,-0.2972,2021-05-17
Agrimonia,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Agrimonia,Agrimonia eupatoria,MC9292,51.4741,-0.3053,2021-08-23
Buxus,Buxaceae,Buxales,Angiosperms,,,,Buxales,Buxaceae,Buxus,Buxus sempervirens,MC 9100,51.4744,-0.3058,2020-09-08
Papaver,Papaveraceae,Ranunculales,Angiosperms,,,,Ranunculales,Papaveraceae,Papaver,Papaver rhoeas,MC 9007,51.475,-0.2955,2020-08-05
Tilia,Malvaceae,Malvales,Angiosperms,,,,Malvales,Malvaceae,Tilia,Tilia cordata,MC9216,51.4761,-0.2933,2021-06-28
Rumex,Polygonaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Polygonaceae,Rumex,Rumex acetosella,MC9335,51.4769,-0.3039,2022-05-06
Veronica,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Veronica,Veronica chamaedrys,MC 9028,51.477,-0.299,2020-08-10
Rosa,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Rosa,Rosa agrestis,MC9245,51.4774,-0.2922,2021-07-26
Rosa,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Rosa,Rosa rubiginosa,MC9246,51.4774,-0.2922,2021-07-26
Rosa,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Rosa,Rosa canina,MC9247,51.4774,-0.2922,2021-07-26
Cicerbita,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Cicerbita,Cicerbita muralis,MC 9060,51.4784,-0.2946,2020-08-28
Bellis,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Bellis,Bellis perennis,MC 9061,51.4784,-0.2946,2020-08-28
Plantago,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Plantago,Plantago lanceolata,MC 9062,51.4784,-0.2946,2020-08-28
Gunnera,Gunneraceae,Gunnerales,Angiosperms,,,,Gunnerales,Gunneraceae,Gunnera,Gunnera tinctoria,MC9288,51.4797,-0.2904,2021-08-23
Gunnera,Gunneraceae,Gunnerales,Angiosperms,,,,Gunnerales,Gunneraceae,Gunnera,Gunnera manicata,MC9289,51.4797,-0.2904,2021-08-23
Geum,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Geum,Geum urbanum,MC 9055,51.4797,-0.3003,2020-08-26
Rumex,Polygonaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Polygonaceae,Rumex,Rumex sanguineus,MC 9056,51.4797,-0.3003,2020-08-26
Claytonia,Montiaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Montiaceae,Claytonia,Claytonia sibirica,MC9248,51.48,-0.2894,2021-07-26
Ranunculus,Ranunculaceae,Ranunculales,Angiosperms,,,,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus acris,MC 9105,51.48,-0.299,2020-09-08
Impatiens,Balsaminaceae,Ericales,Angiosperms,,,,Ericales,Balsaminaceae,Impatiens,Impatiens noli-tangere,MC 9004,51.4805,-0.2898,2020-08-04
Circaea,Onagraceae,Myrtales,Angiosperms,,,,Myrtales,Onagraceae,Circaea,Circaea lutetiana,MC 9005,51.4805,-0.2898,2020-08-04
Lathraea,Orobanchaceae,Lamiales,Angiosperms,,,,Lamiales,Orobanchaceae,Lathraea,Lathraea clandestina,MC9141,51.4805,-0.29,2021-04-06
Chamaenerion,Onagraceae,Myrtales,Angiosperms,,,,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium,MC 9103,51.4805,-0.2962,2020-09-08
Ceratocapnos,Papaveraceae,Ranunculales,Angiosperms,,,,Ranunculales,Papaveraceae,Ceratocapnos,Ceratocapnos claviculata,MC9347,51.4807,-0.2906,2022-05-24
Euonymus,Celastraceae,Celastrales,Angiosperms,,,,Celastrales,Celastraceae,Euonymus,Euonymus europaeus,MC 9104,51.4808,-0.2979,2020-09-08
Euonymus,Celastraceae,Celastrales,Angiosperms,,,,Celastrales,Celastraceae,Euonymus,Euonymus europaeus,MC 9105,51.4808,-0.2979,2020-09-08
Ulmus,Ulmaceae,Rosales,Angiosperms,,,,Rosales,Ulmaceae,Ulmus,Ulmus plotii,MC9232,51.4808,-0.2985,2021-07-20
Ulmus,Ulmaceae,Rosales,Angiosperms,,,,Rosales,Ulmaceae,Ulmus,Ulmus minor,MC9192,51.4809,-0.2981,2021-05-17
Polygonum,Polygonaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Polygonaceae,Polygonum,Polygonum aviculare,MC 9102,51.4812,-0.2936,2020-09-08
Sambucus,Adoxaceae,Dipsacales,Angiosperms,,,,Dipsacales,Adoxaceae,Sambucus,Sambucus nigra,MC 9053,51.4812,-0.2998,2020-08-26
Parietaria,Urticaceae,Rosales,Angiosperms,,,,Rosales,Urticaceae,Parietaria,Parietaria judaica,MC 9057,51.4812,-0.2998,2020-08-26
Suaeda,Amaranthaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Chenopodiaceae,Suaeda,Suaeda vera,MC 9106,51.4815,-0.2896,2020-09-09
Erica,Ericaceae,Ericales,Angiosperms,,,,Ericales,Ericaceae,Erica,Erica ciliaris,MC9080,51.4815,-0.2896,2021-07-26
Lysimachia,Primulaceae,Ericales,Angiosperms,,,,Ericales,Primulaceae,Lysimachia,Lysimachia vulgaris,MC 9073,51.4815,-0.2896,2020-09-03
Comarum,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Comarum,Comarum palustre,MC 9074,51.4815,-0.2896,2020-09-03
Anemone,Ranunculaceae,Ranunculales,Angiosperms,,,,Ranunculales,Ranunculaceae,Anemone,Anemone pulsatilla,MC 9075,51.4815,-0.2896,2020-09-03
Thymus,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Thymus,Thymus serpyllum,MC 9076,51.4815,-0.2896,2020-09-03
Geum,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Geum,Geum rivale,MC 9077,51.4815,-0.2896,2020-09-03
Helianthemum,Cistaceae,Malvales,Angiosperms,,,,Malvales,Cistaceae,Helianthemum,Helianthemum apenninum,MC 9079,51.4815,-0.2896,2020-09-03
Erica,Ericaceae,Ericales,Angiosperms,,,,Ericales,Ericaceae,Erica,Erica ciliaris,MC 9080,51.4815,-0.2896,2020-09-03
Veronica,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Veronica,Veronica spicata,MC 9081,51.4815,-0.2896,2020-09-03
Lathyrus,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Lathyrus,Lathyrus linifolius,MC 9083,51.4815,-0.2896,2020-09-03
Sarracenia,Sarraceniaceae,Ericales,Angiosperms,,,,Ericales,Sarraceniaceae,Sarracenia,Sarracenia purpurea,MC 9084,51.4815,-0.2896,2020-09-03
Chaenorhinum,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Chaenorhinum,Chaenorhinum minus,MC 9043,51.4817,-0.2883,2020-08-13
Arabidopsis,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana,MC 9041,51.4819,-0.2887,2020-08-13
Chamaemelum,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Chamaemelum,Chamaemelum nobile,MC 9042,51.4819,-0.2887,2020-08-13
Daucus,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Daucus,Daucus carota,MC9054,51.4819,-0.2975,2021-07-26
Daucus,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Daucus,Daucus carota,MC 9054,51.4819,-0.2975,2020-08-26
,,,,,,,,,,,,51.48196,-0.287753,
Geranium,Geraniaceae,Geraniales,Angiosperms,,,,Geraniales,Geraniaceae,Geranium,Geranium robertianum,MC 9101,51.482,-0.2878,2020-09-08
Ailanthus,Simaroubaceae,Sapindales,Angiosperms,,,,Sapindales,Simaroubaceae,Ailanthus,Ailanthus altissima,MC 9059,51.482,-0.2879,2020-08-27
Orobanche,Orobanchaceae,Lamiales,Angiosperms,,,,Lamiales,Orobanchaceae,Orobanche,Orobanche hederae,MC 9002,51.4821,-0.2876,2020-08-04
Geranium,Geraniaceae,Geraniales,Angiosperms,,,,Geraniales,Geraniaceae,Geranium,Geranium lucidum,MC9191,51.4822,-0.2979,2021-05-17
Nymphoides,Menyanthaceae,Asterales,Angiosperms,,,,Asterales,Menyanthaceae,Nymphoides,Nymphoides peltata,MC 9066,51.4823,-0.2885,2020-09-01
,,,,,,,,,,,,51.482304,-0.2881101,
Fumaria,Papaveraceae,Ranunculales,Angiosperms,,,,Ranunculales,Papaveraceae,Fumaria,Fumaria muralis,MC9125,51.4824,-0.2975,2021-03-15
Senecio,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Senecio,Senecio vulgaris,MC9126,51.4824,-0.2975,2021-03-15
Cardamine,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Cardamine,Cardamine flexuosa,MC9127,51.4824,-0.2975,2021-03-15
Lamium,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Lamium,Lamium purpureum,MC9128,51.4824,-0.2975,2021-03-15
Cerastium,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium glomeratum,MC9129,51.4824,-0.2975,2021-03-15
Atriplex,Amaranthaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Chenopodiaceae,Atriplex,Atriplex glabriuscula,SM47,51.4825,-0.2876,2021-09-07
Scutellaria,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Scutellaria,Scutellaria galericulata,SM 20,51.4825,-0.2877,2020-09-10
Scutellaria,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Scutellaria,Scutellaria minor,SM 21,51.4825,-0.2877,2020-09-10
Eupatorium,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Eupatorium,Eupatorium cannabinum,MC9025,51.4825,-0.2878,2021-08-17
Ballota,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Ballota,Ballota nigra,MC 9072,51.4826,-0.2972,2020-09-02
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,NOT APPLICABLE,51.48273,-0.2903,2021-04-26
Verbascum,Scrophulariaceae,Lamiales,Angiosperms,,,,Lamiales,Scrophulariaceae,Verbascum,Verbascum nigrum,MC9291,51.4831,-0.2971,2021-08-23
Brassica,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Brassica,Brassica nigra,SM22,51.48319,-0.29304,2021-05-26
Capsella,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Capsella,Capsella bursa-pastoris,SM28,51.48319,-0.29304,2021-05-26
Lactuca,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Lactuca,Lactuca saligna,SM34,51.48319,-0.29304,2021-06-01
Prunella,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Prunella,Prunella vulgaris,SM35,51.48319,-0.29304,2021-06-02
Cichorium,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Cichorium,Cichorium intybus,SM36,51.48319,-0.29304,2021-06-02
Coincya,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Coincya,Coincya wrightii,SM37,51.48319,-0.29304,2021-06-02
Rumex,Polygonaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Polygonaceae,Rumex,Rumex acetosa,SM38,51.48319,-0.29304,2021-06-02
Agrostemma,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Agrostemma,Agrostemma githago,SM32,51.48319,-0.29304,2021-06-02
Scabiosa,Caprifoliaceae,Dipsacales,Angiosperms,,,,Dipsacales,Caprifoliaceae,Scabiosa,Scabiosa columbaria,SM33,51.48319,-0.29304,2021-06-02
Reseda,Resedaceae,Brassicales,Angiosperms,,,,Brassicales,Resedaceae,Reseda,Reseda luteola,SM39,51.48319,-0.29304,2021-06-02
Oxyria,Polygonaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Polygonaceae,Oxyria,Oxyria digyna,SM27,51.48319,-0.29304,2021-06-14
Trifolium,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Trifolium,Trifolium pratense,SM31,51.48319,-0.29304,2021-06-14
Montia,Montiaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Montiaceae,Montia,Montia fontana,SM41,51.48319,-0.29304,2021-06-14
Digitalis,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Digitalis,Digitalis purpurea,SM30,51.48319,-0.29304,2021-06-15
Campanula,Campanulaceae,Asterales,Angiosperms,,,,Asterales,Campanulaceae,Campanula,Campanula rotundifolia,SM43,51.48319,-0.29304,2021-06-30
Daphne,Thymelaeaceae,Malvales,Angiosperms,,,,Malvales,Thymelaeaceae,Daphne,Daphne mezereum,MC9153,51.4833,-0.2947,2021-04-19
Senecio,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Senecio,Senecio squalidus,MC9313,51.4833,-0.2968,2022-04-05
Saxifraga,Saxifragaceae,Saxifragales,Angiosperms,,,,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga granulata,MC9154,51.4834,-0.291,2021-04-19
Lathraea,Orobanchaceae,Lamiales,Angiosperms,,,,Lamiales,Orobanchaceae,Lathraea,Lathraea squamaria,MC9142,51.4837,-0.293,2021-04-06
Adoxa,Adoxaceae,Dipsacales,Angiosperms,,,,Dipsacales,Adoxaceae,Adoxa,Adoxa moschatellina,MC9133,51.4838,-0.2955,2021-03-22
Aristolochia,Aristolochiaceae,Piperales,Angiosperms,,,,Piperales,Aristolochiaceae,Aristolochia,Aristolochia clematitis,MC9233,51.4841,-0.2953,2021-07-20
Trifolium,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Trifolium,Trifolium subterraneum,MC9334,51.4845,-0.2906,2022-05-06
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,NOT APPLICABLE,51.48452,-0.29476,2021-04-26
,,,,,,,,,,,,51.74159,-2.724257,
Lysimachia,Primulaceae,Ericales,Angiosperms,,,,Ericales,Primulaceae,Lysimachia,Lysimachia nummularia,IL6,51.75568,-1.34396,2022-07-05
Lotus,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Lotus,Lotus pedunculatus,SM57,51.75568,-1.34396,2022-07-05
,,,,,,,,,,,,51.75788,-1.327776,
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,QWW-39,51.758934,-1.325597,2022-04-21
,,,,,,,,,,,,51.75942,-1.330043,
,,,,,,,,,,,,51.759796,-1.29718,
,,,,,,,,,,,,51.759987,-1.330958,
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,QWW-33,51.76039,-1.306202,2022-04-21
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,QWW-41,51.761333,-1.333791,2022-04-21
,,,,,,,,,,,,51.761765,-1.299839,
,,,,,,,,,,,,51.762897,-1.340721,
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,QWW-31,51.76295,-1.299969,2022-04-21
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,MC9204,51.7631,-1.3392,2021-06-22
,,,,,,,,,,,,51.76311,-1.330479,
,,,,,,,,,,,,51.763138,-1.341505,
Lonicera,Caprifoliaceae,Dipsacales,Angiosperms,,,,Dipsacales,Caprifoliaceae,Lonicera,Lonicera periclymenum,MC9206,51.7635,-1.3391,2021-06-22
,,,,,,,,,,,,51.763596,-1.342987,
,,,,,,,,,,,,51.763706,-1.340764,
Corylus,Betulaceae,Fagales,Angiosperms,,,,Fagales,Betulaceae,Corylus,Corylus avellana,MC9203,51.764,-1.3367,2021-06-22
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,QWW-13,51.76543,-1.337888,2022-04-22
Ribes,Grossulariaceae,Saxifragales,Angiosperms,,,,Saxifragales,Grossulariaceae,Ribes,Ribes rubrum,MC9167,51.7659,-1.311,2021-05-05
,,,,,,,,,,,,51.766945,-1.338611,
,,,,,,,,,,,,51.767693,-1.345036,
,,,,,,,,,,,,51.768208,-1.332222,
Rhamnus,Rhamnaceae,Rosales,Angiosperms,,,,Rosales,Rhamnaceae,Rhamnus,Rhamnus cathartica,MC9163,51.7689,-1.3389,2021-05-05
Cruciata,Rubiaceae,Gentianales,Angiosperms,,,,Gentianales,Rubiaceae,Cruciata,Cruciata laevipes,MC9164,51.7689,-1.3389,2021-05-05
Daphne,Thymelaeaceae,Malvales,Angiosperms,,,,Malvales,Thymelaeaceae,Daphne,Daphne laureola,MC9165,51.7689,-1.3389,2021-05-05
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,QWW-06,51.768906,-1.340459,2022-04-23
Geranium,Geraniaceae,Geraniales,Angiosperms,,,,Geraniales,Geraniaceae,Geranium,Geranium columbinum,MC9207,51.7693,-1.3334,2021-06-22
Orobanche,Orobanchaceae,Lamiales,Angiosperms,,,,Lamiales,Orobanchaceae,Orobanche,Orobanche minor,MC9208,51.7693,-1.3334,2021-06-22
Malva,Malvaceae,Malvales,Angiosperms,,,,Malvales,Malvaceae,Malva,Malva moschata,MC9209,51.7696,-1.3326,2021-06-22
,,,,,,,,,,,,51.77001,-1.335447,
,,,,,,,,,,,,51.770145,-1.337757,
,,,,,,,,,,,,51.770226,-1.339544,
Astragalus,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Astragalus,Astragalus glycyphyllos,MC9199,51.7704,-1.3388,2021-06-22
Viburnum,Adoxaceae,Dipsacales,Angiosperms,,,,Dipsacales,Adoxaceae,Viburnum,Viburnum lantana,MC9160,51.7706,-1.3385,2021-05-05
Polygala,Polygalaceae,Fabales,Angiosperms,,,,Fabales,Polygalaceae,Polygala,Polygala vulgaris,MC9198,51.7711,-1.3382,2021-06-22
,,,,,,,,,,,,51.771225,-1.335404,
Fagus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Fagus,Fagus sylvatica,MC9171,51.7718,-1.3376,2021-05-05
,,,,,,,,,,,,51.77198,-1.337365,
,,,,,,,,,,,,51.772438,-1.339283,
Crataegus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Crataegus,Crataegus laevigata,MC9159,51.7747,-1.3329,2021-05-05
,,,,,,,,,,,,51.777637,-1.341113,
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,QWW-14,51.77807,-1.326294,2022-04-22
,,,,,,,,,,,,51.778446,-1.337103,
,,,,,,,,,,,,51.778526,-1.342072,
,,,,,,,,,,,,51.77893,-1.340285,
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,QWW-19,51.779175,-1.334183,2022-04-22
,,,,,,,,,,,,51.779526,-1.339108,
,,,,,,,,,,,,51.77958,-1.337714,
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,QWW-18,51.779606,-1.332396,2022-04-22
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus robur,QWW-15,51.77966,-1.325336,2022-04-22
,,,,,,,,,,,,51.77993,-1.334619,
,,,,,,,,,,,,51.78017,-1.331045,
,,,,,,,,,,,,51.78044,-1.328779,
,,,,,,,,,,,,51.781116,-1.334009,
,,,,,,,,,,,,51.78184,-1.331002,
,,,,,,,,,,,,51.782356,-1.333268,
Monotropa,Ericaceae,Ericales,Angiosperms,,,,Ericales,Ericaceae,Monotropa,Monotropa hypopitys,SM52,51.78791,-1.2343,2022-07-05
Jacobaea,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Jacobaea,Jacobaea erucifolia,ARL1,51.78791,-1.29343,2022-07-05
Clinopodium,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Clinopodium,Clinopodium vulgare,SM54,51.78791,-1.29343,2022-07-05
,,,,,,,,,,,,51.835114,-1.372229,
,,,,,,,,,,,,51.835663,-1.3706601,
,,,,,,,,,,,,51.835705,-1.373117,
,,,,,,,,,,,,51.839,-1.381141,
,,,,,,,,,,,,51.83982,-1.380898,
,,,,,,,,,,,,51.840427,-1.380983,
,,,,,,,,,,,,52.02059,-1.832804,
,,,,,,,,,,,,52.072914,-4.301634,
