Institute,ID Number,Project,Higher Group,Family,Genus,Species ,Standard,Buffer,mean1,mean2,cv1,cv2,ratio,ave.sample,ave.standard,GS pg (2C),GS pg (1C),1C/Gbp,cv.sample,cv.standard,SD(R).sample,measured by,Date,DToL Specimen ID,Previous estimate (2C) (prime*),Comments on DToL sample,,,,,
,,,,,,,,,228.43,468.07,2.29,3.07,2.049,,,,,,,,,,,,,,,,,,
RBGE,ZAG1879,DTOL,Angiosperm,Oxalidaceae,Oxalis,acetosella,<Pisum,GPB3%PVPBmet,349.94,559.55,2.81,1.92,1.599,355.1066667,565.0266667,5.71,2.86,2.79,2.79,1.74,0.009,Sahr Mian,8/11/2020,,5.31 (2013)* 5.7 (2005) 6.2 (2012) 2.4 (1979),,,,,,
,,,,,,,,,353.01,562.2,2.65,1.57,1.593,,,,,,,,,,,,,,,,,,
,,,,,,,,,362.37,573.33,2.91,1.72,1.582,,,,,,,,,,,,,,,,,,
RBGE,ZAG1883,DTOL,Angiosperm,Poaceae,Danthonia,decumbens,<Pisum,GPB3%PVPBmet,279.96,559.98,2.7,1.65,2.001,287.0166667,568.0366667,4.59,2.30,2.25,2.68,1.60,0.021,Sahr Mian,8/11/2020,,3.95 (2014)* 5.90 (1989),,,,,,
,,,,,,,,,287.41,568.52,2.59,1.52,1.978,,,,,,,,,,,,,,,,,,
,,,,,,,,,293.68,575.61,2.74,1.63,1.960,,,,,,,,,,,,,,,,,,
RBGE,ZAG1877,DTOL,Angiosperm,Iridaceae,Iris,pseudacorus,>Pisum,GPB3%PVPBmet,395.93,531.99,1.88,2.51,1.344,535.5033333,400.6733333,12.15,6.07,5.94,2.33,2.01,0.010,Sahr Mian ,8/12/2020,,11.33 (2010)* 11.04 (2013) 12.80 (1988) 11.20 (2005),,,,,,
,,,,,,,,,397.3,533.02,2.13,2.16,1.342,,,,,,,,,,,,,,,,,,
,,,,,,,,,408.79,541.5,2.02,2.31,1.325,,,,,,,,,,,,,,,,,,
RBGE,ZAG1882,DTOL,Angiosperm,Plumbaginaceae,Armeria,maritima,>Petro,GPB3%PVPBmet,197.47,410.85,2.79,2.01,2.221,416.77,202.83,9.25,4.62,4.52,2.53,2.81,0.006,Sahr Mian,8/12/2020,,8.55 (1993)* 8.20 (1996) 9.10 (1996)," Few nuclei in leaves, ran whole specimen",,,,,
,,,,,,,,,204.81,421.46,2.81,2.61,2.214,,,,,,,,,,,,,,,,,,
,,,,,,,,,206.21,418,2.83,2.96,2.209,,,,,,,,,,,,,,,,,,
RBGE,ZAG1884,DTOL,Angiosperm,Fabaceae,Lotus,corniculatus,<Petro,GPB3%PVPBmet,391.69,652.65,2.59,1.76,1.666,403.2666667,665.9266667,2.73,1.36,1.33,2.65,1.79,0.013,Sahr Mian ,8/12/2020,,1.64 (2013)* 2.37 (2013)* 2.6 (2012),,,,,,
,,,,,,,,,403.51,664.94,2.82,2,1.648,,,,,,,,,,,,,,,,,,
,,,,,,,,,414.6,680.19,2.54,1.61,1.641,,,,,,,,,,,,,,,,,,
RBGE,ZAG1885,DTOL,Angiosperm,Poaceae,Briza,media,<Pisum,GPB3%PVPBmet,383.63,521.56,1.75,1.74,1.360,390.6566667,528.96,6.71,3.36,3.28,1.69,1.60,0.006,Sahr Mian,8/12/2020,," 15.10 10.40 (1983)* , Kew previous estimate 6.7",,,,,,
,,,,,,,,,389.98,528.3,1.64,1.56,1.355,,,,,,,,,,,,,,,,,,
,,,,,,,,,398.36,537.02,1.68,1.51,1.348,,,,,,,,,,,,,,,,,,
RBGE,ZAG1889,DTOL,Angiosperm,Salicaceae,Salix,lanata,<Solanum,GPB3%PVPBmet,244.03,545.49,3.91,2.26,2.075,251.4,558.4233333,0.90,0.45,0.44,3.82,2.33,0.013,Sahr Mian ,8/12/2020,,no previous estimate,recollect in spring,,,,,
,,,,,,,,,251.24,557.38,3.72,2.3,2.063,,,,,,,,,,,,,,,,,,
,,,,,,,,,258.93,572.4,3.82,2.44,2.049,,,,,,,,,,,,,,,,,,
RBGE,ZAG1891,DTOL,Angiosperm,Betulaceae,Betula,nana,<Solanum,GPB3%PVPBmet,261.62,484.63,4.6,2.59,2.075,273.88,503.95,1.09,0.54,0.53,4.38,2.67,0.013,Sahr Mian ,8/12/2020,,0.92 (2012) 1.00 (2016),recollect in spring,,,,,
,,,,,,,,,274.83,505.04,4.55,2.68,2.063,,,,,,,,,,,,,,,,,,
,,,,,,,,,285.19,522.18,4,2.74,2.049,,,,,,,,,,,,,,,,,,
RBGE,ZAG1886,DTOL,Gymnosperm,Cupressaceae,Juniperus,communis,<Allium,GPB3%PVPBmet,337.31,522.13,3.21,2.74,2.027,343.3533333,533.5733333,22.45,11.23,10.98,3.27,2.11,0.017,Sahr Mian,8/12/2020,,"19.67 (2010)* 22.90 (2012) , 22.97 previous kew measurement","ran with GPB, LB and Ebihara",,,,,
,,,,,,,,,342.04,533.08,3.25,1.75,2.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,350.71,545.51,3.36,1.84,1.994,,,,,,,,,,,,,,,,,,
RBGE,ZAG1875,DTOL,Monilophyte,Dennstaedtiaceae,Pteridium,aquilinum,>Pisum,GPB3%PVPBmet,254.25,472.83,1.91,3.77,1.344,498.8833333,263.6566667,17.20,8.60,8.41,3.41,2.36,0.010,Sahr Mian ,13/8/2020,,14.82 (2013)* 15.26 (2012),"Tried with GPB, Ebihara and oxpro",,prev estimate 14.82,,,
,,,,,,,,,262.82,501.29,2.44,3.46,1.342,,,,,,,,,,,,,,,,,,
,,,,,,,,,273.9,522.53,2.74,2.99,1.325,,,,,,,,,,,,,,,,,,
RBGE,ZAG1890,DTOL,Monilophyte,Blechnaceae,Blechnum,spicant,>Pisum,GPB3%PVPBmet,375.87,621.26,2.04,3.49,1.344,645.88,388.4766667,15.11,7.56,7.39,3.34,2.36,0.010,Sahr Mian ,13/8/2020,,12.87 (2013)*,"Tried with ebihara, GPB and LB",,,,,
,,,,,,,,,385.39,641.37,2.47,3.36,1.342,,,,,,,,,,,,,,,,,,
,,,,,,,,,404.17,675.01,2.58,3.18,1.325,,,,,,,,,,,,,,,,,,
RBGE,ZAG1887,DTOL,Lycophyte,Lycopodiaceae,Lycopodium,clavatum,<Pisum,OXPRO,327.38,513.05,3.12,1.71,1.567,339.8166667,527.6466667,5.85,2.93,2.86,3.12,1.59,0.021,Sahr Mian,13/8/2020,,5.72  (2002)*,"Tried with ebihara, GPB and LB",,,,,
,,,,,,,,,334.04,522.3,2.97,1.74,1.564,,,,,,,,,,,,,,,,,,
,,,,,,,,,358.03,547.59,3.27,1.32,1.529,,,,,,,,,,,,,,,,,,
RBGE,ZAG1878,DTOL,Angiosperm,Myricaceae,Myrica,gale,<Oryza,OXPRO,353.6,587.26,4.33,3.99,2.442,376.0066667,617.2666667,0.61,0.30,0.30,3.82,3.48,0.023,Sahr Mian,13/8/2020,,0.84 (2001)* 3.4 (2012),"Tried with ebihara, GPB and LB",prev estimate 0.84 (messy sample),,,,
,,,,,,,,,368.78,606.69,4.06,3.71,2.412,,,,,,,,,,,,,,,,,,
,,,,,,,,,405.64,657.85,3.06,2.73,2.397,,,,,,,,,,,,,,,,,,
RBGE,ZAG1876,DTOL,Gymnosperm,Pinaceae,Pinus,sylvestris,>Allium,OXPRO,464.84,620.27,2.86,2.19,5.395,620.21,465.21,46.51,23.26,22.75,2.21,2.64,0.019,Sahr Mian,13/8/2020,,"45.96 (2008)* 46.40 (2001), 46.08 previous kew estimate",,,,,,
,,,,,,,,,465.96,621.54,2.47,1.86,5.372,,,,,,,,,,,,,,,,,,
,,,,,,,,,464.83,618.82,2.59,2.57,5.357,,,,,,,,,,,,,,,,,,
Offsite,MC9039,DTOL,Angiosperm,Asteraceae,Pulicaria,dysenterica,<Petro,GPB3%PVPBmet,193.67,401.77,3.05,2.83,2.074,199.9366667,410.6233333,2.19,1.10,1.07,3.02,2.73,0.019,Sahr Mian ,9/1/2020,KDTOL10042,1.97 (2013)*,Sanger - low DNA yield,,,,,
,,,,,,,,,199.78,410.05,2.96,2.6,2.053,,,,,,,,,,,,,,,,,,
,,,,,,,,,206.36,420.05,3.06,2.75,2.036,,,,,,,,,,,,,,,,,,
Offsite,MC9040,DTOL,Angiosperm,Rosaceae,Potentilla,anserina,<Petro,GPB3%PVPBmet,211.52,860.27,2.6,2.03,4.067,215.99,869.88,1.12,0.56,0.55,2.56,1.57,0.041,Sahr Mian ,9/1/2020,KDTOL10043,no previous estimate,Sanger - low DNA yield,,,,,
,,,,,,,,,215.63,867.6,2.38,0.88,4.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,220.82,881.77,2.69,1.81,3.993,,,,,,,,,,,,,,,,,,
Offsite,MC9041,DTOL,Angiosperm,Brassicaceae,Arabidopsis,thaliana,<Solanum,GPB3%PVPBmet,133.49,765.3,4.56,2.21,5.733,141.4266667,788.1466667,0.36,0.18,0.18,4.32,1.85,0.152,Sahr Mian ,24/08/2020,KDTOL10045,0.32 (2002)*,Endopolyploidy - multiple peaks,,Sanger - low DNA yield,,,
,,,,,,,,,141.26,787.28,4.5,1.59,5.573,,,,,,,,,,,,,,,,,,
,,,,,,,,,149.53,811.86,3.89,1.75,5.429,,,,,,,,,,,,,,,,,,
Offsite,MC9042,DTOL,Angiosperm,Asteraceae,Chamaemelum,nobile,>Petro,GPB3%PVPBmet,225.24,496.68,2.34,2.39,2.205,507.8133333,231.8333333,9.86,4.93,4.82,2.38,2.35,0.014,Sahr Mian,24/08/2020,KDTOL10046,10.70 (1984)*,,,,,,
,,,,,,,,,232.06,507.94,2.32,2.3,2.189,,,,,,,,,,,,,,,,,,
,,,,,,,,,238.2,518.82,2.38,2.44,2.178,,,,,,,,,,,,,,,,,,
Offsite,MC9043,DTOL,Angiosperm,Plantaginaceae,Chaenorhinum,minus,<Solanum,OXPRO,201.5,443.9,3.37,2.43,2.203,215.91,474.11,0.91,0.46,0.45,3.41,2.66,0.018,Sahr Mian ,9/1/2020,KDTOL10047,no previous estimate,"Difficult sample, ran multiple individuals, all fresh, tried all buffers, prev estimate 0.57",,,,,Sanger - low DNA yield
,,,,,,,,,214.5,466.51,3.73,3.18,2.175,,,,,,,,,,,,,,,,,,
,,,,,,,,,231.73,511.92,3.14,2.38,2.209,,,,,,,,,,,,,,,,,,
Offsite,MC9045,DTOL,Angiosperm,Dioscoreaceae,Dioscorea,communis,<Petro,Ebihara,299.09,582.07,5.03,3.23,1.946,309.1633333,527.3233333,2.64,1.32,1.29,4.67,3.17,0.420,Sahr Mian ,24/08/2020,KDTOL10049,1.66 (2014)*,"Really messy sample, few nuclei. Ran sample to 500 in each run, G2 peak overalap with standard. Female measured",,,,Sanger - low DNA yield,
,,,,,,,,,301.42,595.97,5.2,3.24,1.977,,,,,,,,,,,,,,,,,,
Offsite ,MC9046,DTOL,Monilophyte,Equisetaceae,Equisetum,telmateia,<Allium,GPB3%PVPBmet,326.98,403.93,3.78,3.05,1.235,351.85,426.41,28.79,14.39,14.08,3.79,2.86,0.021,Sahr Mian,24/8/2020,KDTOL10050,no previous estimate,,,,,,
,,,,,,,,,355.01,429.25,3.93,2.93,1.209,,,,,,,,,,,,,,,,,,
,,,,,,,,,373.56,446.05,3.67,2.6,1.194,,,,,,,,,,,,,,,,,,
Offsite,MC9047,DTOL,Angiosperm,Polygonaceae,Reynoutria,japonica,>Petro,GPB3%PVPBmet,285.73,642.83,2.96,3.2,2.250,659.5166667,298.89,9.93,4.96,4.86,3.12,3.12,0.047,Sahr Mian,24/08/2020,KDTOL10051,1.55 (2013)*,potential hexaploid?,,,,,
,,,,,,,,,297.32,659.29,3.01,2.84,2.215,,,,,,,,,,,,,,,,,,
,,,,,,,,,313.62,676.43,3.38,3.33,2.157,,,,,,,,,,,,,,,,,,
Offsite,MC9048,DTOL,Angiosperm,Brassicaceae,Cakile,maritima,<Petro,GPB3%PVPBmet,234.72,626.3,2.98,2,2.668,247.8466667,643.2866667,1.73,0.87,0.85,2.99,1.75,0.071,Sahr Mian ,24/08/2020,KDTOL10052,1.36 (2009)*,Sanger - low DNA yield,,,,,
,,,,,,,,,248,644.38,2.99,1.59,2.598,,,,,,,,,,,,,,,,,,
,,,,,,,,,260.82,659.18,3.01,1.66,2.527,,,,,,,,,,,,,,,,,,
Offsite,MC9049,DTOL,Angiosperm,Caryophyllaceae,Honckenya,peploides,>Petro,GPB3%PVPBmet,284.24,532.21,2.13,2.56,1.872,538.1133333,288.3366667,8.40,4.20,4.11,2.28,2.04,0.006,Sahr Mian,24/08/2020,KDTOL10053,8.66 (2009)*,Sanger - low DNA yield,,,,,
,,,,,,,,,291.37,543.8,1.85,2.04,1.866,,,,,,,,,,,,,,,,,,
,,,,,,,,,289.4,538.33,2.15,2.24,1.860,,,,,,,,,,,,,,,,,,
Offsite,M9050,DTOL,Angiosperm,Apiaceae,Crithmum,maritimum,<Pisum,GPB3%PVPBmet,324.97,583.21,2.97,2.32,1.795,329.28,586.2466667,5.11,2.55,2.50,2.90,2.16,0.016,Sahr Mian,24/08/2020,KDTOL10054,4.83 (2008)* 4.59 (2010),Sanger - low DNA yield,,,,,
,,,,,,,,,328.68,586.11,2.86,2.15,1.783,,,,,,,,,,,,,,,,,,
,,,,,,,,,334.19,589.42,2.87,2.01,1.764,,,,,,,,,,,,,,,,,,
Offsite,MC9051,DTOL,Angiosperm,Euphorbiaceae,Mercurialis,annua,<Petro,OXPRO,189.8,622.5,3.66,2.74,3.280,192.62,613.08,1.41,0.71,0.69,3.97,2.68,0.093,Sahr Mian ,28/08/2020,KDTOL10055,"1.33, 2.60 (2006)*","All buffers tried, messy sample, FEMALE PLANT MEASURED",,,,Sanger - low DNA yield,
,,,,,,,,,191.15,609.37,4.28,2.65,3.188,,,,,,,,,,,,,,,,,,
,,,,,,,,,196.91,607.37,3.98,2.65,3.095,,,,,,,,,,,,,,,,,,
Offsite,MC9053,DTOL,Angiosperm,Adoxaceae,Sambucus,nigra,<Allium,GPB3%PVPBmet,326.84,417.58,2.19,2.81,1.278,334.2266667,425.7933333,27.39,13.69,13.39,2.41,2.85,0.004,Sahr Mian,28/08/2020,KDTOL10057,26.36 (2013)* 30.5 (1983),,,,,,
,,,,,,,,,335.6,427.39,2.33,2.69,1.274,,,,,,,,,,,,,,,,,,
,,,,,,,,,340.24,432.41,2.72,3.06,1.271,,,,,,,,,,,,,,,,,,
Offsite,MC9054,DTOL,Angiosperm,Apiaceae,Daucus,carota,<Solanum,GPB3%PVPBmet,247.71,442.85,3.14,2.68,2.203,255.07,451.8266667,1.13,0.56,0.55,2.86,2.59,0.018,Sahr Mian ,28/08/2020,KDTOL10058,0.94 (2016)* 1.19 (1993),Sanger - low DNA yield,,,,,
,,,,,,,,,256.3,452.23,2.64,2.65,2.175,,,,,,,,,,,,,,,,,,
,,,,,,,,,261.2,460.4,2.8,2.43,2.209,,,,,,,,,,,,,,,,,,
Offsite,MC9055,DTOL,Angiosperm,Rosaceae,Geum,urbanum,<Petro,GPB3%PVPBmet,283.62,395.49,3.2,2.53,1.394,301.2966667,412.6866667,3.29,1.64,1.61,3.06,2.62,0.022,Sahr Mian ,28/08/2020,KDTOL10059,3.01 (2012)* 3.23 (2013),Sanger - low DNA yield,,,,,
,,,,,,,,,302.33,412.6,2.91,2.62,1.365,,,,,,,,,,,,,,,,,,
,,,,,,,,,317.94,429.97,3.08,2.72,1.352,,,,,,,,,,,,,,,,,,
Offsite,MC9056,DTOL,Angiosperm,Polygonaceae,Rumex,sanguineus,<Petro,OXPRO,198.72,518.06,3.97,2.72,2.607,214.0466667,545.7133333,1.77,0.88,0.86,3.38,2.62,0.053,Sahr Mian ,28/08/2020,KDTOL10060,no previous estimate,All buffers tried,Sanger - low DNA yield,,,,
,,,,,,,,,219.23,551.72,3.62,2.53,2.517,,,,,,,,,,,,,,,,,,
,,,,,,,,,224.19,567.36,2.54,2.6,2.513,,,,,,,,,,,,,,,,,,
Offsite,MC9057,DTOL,Angiosperm,Urticaceae,Parietaria,judaica,<Solanum,GPB3%PVPBmet,307.74,404.02,3.6,2.66,1.313,329.55,429.54,1.53,0.77,0.75,3.07,2.55,0.012,Sahr Mian ,28/08/2020,KDTOL10061,no previous estimate,,,,,,
,,,,,,,,,334.68,431.67,2.99,2.91,1.290,,,,,,,,,,,,,,,,,,
,,,,,,,,,346.23,452.93,2.63,2.08,1.308,,,,,,,,,,,,,,,,,,
Offsite,MC9058,DTOL,Angiosperm,Fabaceae,Onobrychis,viciifolia,<Petro,GPB3%PVPBmet,298.18,462.13,3.17,2.09,1.550,310.11,478.9833333,2.91,1.46,1.42,3.00,1.90,0.008,Sahr Mian ,27/08/2020,KDTOL10062,2.5 (2012)* 2.63 (2013),Sanger - low DNA yield,,,,,
,,,,,,,,,306.37,474.43,2.93,2.02,1.549,,,,,,,,,,,,,,,,,,
,,,,,,,,,325.78,500.39,2.9,1.58,1.536,,,,,,,,,,,,,,,,,,
Offsite,MC9059,DTOL,Angiosperm,Simaroubaceae,Ailanthus,altissima,<Petro,GPB3%PVPBmet,276.66,520.7,2.96,2.42,1.881,314.13,589.73,2.40,1.20,1.17,2.79,2.76,0.023,Sahr Mian ,27/08/2020,KDTOL10063,2.08 (2013),Sanger - low DNA yield,,,,,
,,,,,,,,,339.61,644.94,2.44,2.18,1.899,,,,,,,,,,,,,,,,,,
,,,,,,,,,326.12,603.55,2.96,3.69,1.853,,,,,,,,,,,,,,,,,,
Offsite,MC9060,DTOL,Angiosperm,Asteraceae,Ciceribita,muralis,<Pisum,GPB3%PVPBmet,281.96,651.13,2.9,2.45,2.309,294.7366667,669.9933333,4.00,2.00,1.96,2.87,2.39,0.033,Sahr Mian,28/08/2020,KDTOL10064,4 (2002)*,,,,,,
,,,,,,,,,295.66,670.9,2.86,2.37,2.269,,,,,,,,,,,,,,,,,,
,,,,,,,,,306.59,687.95,2.85,2.36,2.244,,,,,,,,,,,,,,,,,,
Offsite,MC9061,DTOL,Angiosperm,Asteraceae,Bellis,perennis,>Solanum,GPB3%PVPBmet,311.85,558.46,2.93,2.39,1.791,571.1833333,320.9966667,3.56,1.78,1.74,2.64,2.90,0.011,Sahr Mian ,28/08/2020,KDTOL10065,3.15 (2013)*  3.9 (1984),,,,,,
,,,,,,,,,321.56,572.08,2.93,2.87,1.779,,,,,,,,,,,,,,,,,,
,,,,,,,,,329.58,583.01,2.83,2.67,1.769,,,,,,,,,,,,,,,,,,
Offsite,MC9062,DTOL,Angiosperm,Plantaginaceae,Plantago,lanceolata,<Petro,GPB3%PVPBmet,319.19,494.99,2.14,2.08,1.551,330.0033333,508.2033333,2.92,1.46,1.43,2.10,2.00,0.011,Sahr Mian ,28/08/2020,KDTOL10066,2.9 (2012)*,Sanger - low DNA yield,,,,,
,,,,,,,,,331.03,509.71,2.16,2.03,1.540,,,,,,,,,,,,,,,,,,
,,,,,,,,,339.79,519.91,2.01,1.88,1.530,,,,,,,,,,,,,,,,,,
Offsite,MC9063,DTOL,Angiosperm,Plantaginaceae,Linaria,vulgaris,<Petro,GPB3%PVPBmet,204.13,483.19,2.91,2.71,2.367,209.5633333,489.5533333,1.93,0.96,0.94,2.79,2.43,0.032,Sahr Mian ,28/08/2020,KDTOL10067,1.74 (2013)* 1.83 (2012),,,,,,
,,,,,,,,,209.99,491.12,2.68,2.33,2.339,,,,,,,,,,,,,,,,,,
,,,,,,,,,214.57,494.35,2.78,2.25,2.304,,,,,,,,,,,,,,,,,,
Offsite,MC9064,DTOL,Angiosperm,Hypericaceae,Hypericum,perforatum,<Solanum,GPB3%PVPBmet,362.09,451.95,2.56,2.93,1.248,379.9133333,469.6966667,1.62,0.81,0.79,3.13,2.79,0.011,Sahr Mian ,9/1/2020,KDTOL10068,0.78 (2013)* 1.57 (2010)*,Sanger - low DNA yield,,,,,
,,,,,,,,,381,467.54,3.12,2.99,1.227,,,,,,,,,,,,,,,,,,
,,,,,,,,,396.65,489.6,3.71,2.46,1.235,,,,,,,,,,,,,,,,,,
Offsite,MC9065,DTOL,Angiosperm,Asteraceae,Tanacetum,vulgare,>Petro,GPB3%PVPBmet,240.75,560.82,2.02,2.11,2.330,571.52,247.2266667,10.40,5.20,5.09,1.90,2.35,0.026,Sahr Mian,9/1/2020,KDTOL10069,7.8 (1998)* 10 (1998),,,,,,
,,,,,,,,,245.47,570.59,2.31,1.8,2.324,,,,,,,,,,,,,,,,,,
,,,,,,,,,255.46,583.15,2.73,1.78,2.283,,,,,,,,,,,,,,,,,,
RBGE,ZAG1893,DTOL,Angiosperm,Oleaceae,Ligustrum,vulgare,<Petro,GPB3%PVPBmet,364.47,480.6,2.68,1.92,1.319,378.2366667,497.6433333,3.42,1.71,1.67,2.64,1.94,0.003,Sahr Mian ,25/08/2020,,3.05 (2013)* 3.14 (2010),,,,,,
,,,,,,,,,379.89,498.93,2.62,1.86,1.313,,,,,,,,,,,,,,,,,,
,,,,,,,,,390.35,513.4,2.63,2.05,1.315,,,,,,,,,,,,,,,,,,
RBGE,ZAG1906,DTOL,Angiosperm,Caprifoliaceae,Linnaea,borealis,<Petro,GPB3%PVPBmet,246.43,560.53,2.93,1.8,2.275,253.5566667,569.5866667,2.00,1.00,0.98,2.68,1.67,0.027,Sahr Mian ,25/08/2020,,1.8 (2012)*,,,,,,
,,,,,,,,,254.51,570.99,2.52,1.63,2.243,,,,,,,,,,,,,,,,,,
,,,,,,,,,259.73,577.24,2.58,1.57,2.222,,,,,,,,,,,,,,,,,,
RGBE,ZAG1905,DTOL,Angiosperm,Fabaceae,Lathyrus,japonicus,>Pisum,GPB3%PVPBmet,320.68,453.45,1.72,1.85,1.414,460.1033333,326.8966667,12.79,6.40,6.26,1.84,1.90,0.007,Sahr Mian ,26/08/2020,,no previous estimate,,,,,,
,,,,,,,,,326.74,460.09,2.01,1.86,1.408,,,,,,,,,,,,,,,,,,
,,,,,,,,,333.27,466.77,1.96,1.82,1.401,,,,,,,,,,,,,,,,,,
RBGE,ZAG1895,DTOL,Gymnosperm,Taxaceae,Taxus,baccata,<Allium,Ebihara,307.16,433.06,3.84,3.11,1.410,313.7666667,437.3433333,25.03,12.52,12.24,3.69,2.93,0.017,Sahr Mian,26/08/2020,,"22.10 (1998)* 23.30 (2012),  previous Kew measuremeant 13",,,,,,
,,,,,,,,,313.8,438.31,3.79,2.82,1.397,,,,,,,,,,,,,,,,,,
,,,,,,,,,320.34,440.66,3.45,2.87,1.376,,,,,,,,,,,,,,,,,,
RBGE,ZAG1907,DTOL,Angiosperm,Asteraceae,Cicerbita,alpina,>Pisum,GPB3%PVPBmet,306.42,404.54,2.24,2.58,1.320,409.53,310.2666667,12.00,6.00,5.87,2.43,2.25,0.000,Sahr Mian ,26/08/2020,, 5.81 (2013)*,potential tetraploid,,,,,
,,,,,,,,,308.92,407.71,2.2,2.35,1.320,,,,,,,,,,,,,,,,,,
,,,,,,,,,315.46,416.34,2.3,2.37,1.320,,,,,,,,,,,,,,,,,,
RBGE,ZAG1903,DTOL,Angiosperm,Caprifoliaceae,Succisa,pratensis,<Pisum,GPB3%PVPBmet,237.08,388.35,3.13,2.07,1.638,240.9566667,393.6466667,5.56,2.78,2.72,2.91,1.98,0.004,Sahr Mian,26/08/2020,,5.55 (2010)*,,,,,,
,,,,,,,,,240.45,392.66,2.76,2.11,1.631,,,,,,,,,,,,,,,,,,
,,,,,,,,,245.34,399.93,2.83,1.75,1.630,,,,,,,,,,,,,,,,,,
RBGE,ZAG1909,DTOL,Angiosperm,Rosaceae,Sorbus,aucuparia,<Solanum,GPB3%PVPBmet,216.67,302.97,4.22,3.57,1.398,211.2433333,359.3266667,1.18,0.59,0.57,4.06,3.22,0.587,Sahr Mian ,26/08/2020,,"1.42 (2013)* 1.03 (2008), kew estimates 1.60","tried with Ebihara, only two runs possible",,,,,
,,,,,,,,,224.15,310.46,4.71,3.86,1.385,,,,,,,,,,,,,,,,,,
RBGE,ZAG1904,DTOL,Angiosperm,Geraniaceae,Erodium,maritimum,<Petro,GPB3%PVPBmet,192.91,464.55,3.26,2.24,2.408,195.1633333,464.01,1.89,0.95,0.93,3.30,2.40,0.028,Sahr Mian ,26/08/2020,,no previous estimate,,,,,,
,,,,,,,,,196.57,466.25,3.19,2.45,2.372,,,,,,,,,,,,,,,,,,
,,,,,,,,,196.01,461.23,3.44,2.5,2.353,,,,,,,,,,,,,,,,,,
RBGE,ZAG1908,DTOL,Angiosperm,Orobanchaceae,Melampyrum,sylvaticum,>Petro,GPB3%PVPBmet,242.89,565.74,2.06,2.08,2.329,575.3933333,338.9833333,7.64,3.82,3.74,1.82,1.89,0.008,Sahr Mian,26/08/2020,,no previous estimate,,,,,,
,,,,,,,,,248.64,576.34,1.79,1.7,2.318,,,,,,,,,,,,,,,,,,
,,,,,,,,,525.42,584.1,1.82,1.67,2.314,,,,,,,,,,,,,,,,,,
RBGE,ZAG1897,DTOL,Angiosperm,Ulmaceae,Ulmus,glabra,<Pisum,GPB3%PVPBmet,301.86,641.04,2.75,2.17,1.638,308.69,652.4233333,4.30,2.15,2.10,2.57,2.00,0.004,Sahr Mian,26/08/2020,,3.98 (2010)* 4.37 (2007),,,,,,
,,,,,,,,,310.58,657.4,2.63,1.87,1.631,,,,,,,,,,,,,,,,,,
,,,,,,,,,313.63,658.83,2.32,1.96,1.630,,,,,,,,,,,,,,,,,,
RBGE,ZAG1894,DTOL,Angiosperm,Rhamnaceae,Frangula,alnus,<Solanum,GPB3%PVPBmet,221.59,619.45,6.51,3.41,2.795,267.5966667,509.4166667,1.05,0.53,0.51,6.51,3.41,0.830,Sahr Mian ,26/08/2020,,0.66 (2010)* 1.08 (2003),"Messy sample all buffers tried, only able to run once. Recollect next year, prev estimate 0.66",,,,,
RBGE,ZAG1909,DTOL,Angiosperm,Rosaceae,Sorbus,aucuparia,<Solanum,Ebihara,276.23,386.4,5.02,3.39,1.399,297.0866667,483.3466667,1.23,0.61,0.60,5.02,3.39,0.046,Sahr Mian ,26/08/2020,,Kew previous estimates 1.60,"Messy sample all buffers tried, only able to run once. Recollect next year, prev estimate 0.66",,,,,
RBGE,ZAG1896,DTOL,Monilophyte,Athyriaceae,Athyrium,distentifolium,>Pisum,Ebihara,304.97,522.4,1.95,3.2,1.320,540.0633333,310.3833333,15.82,7.91,7.73,3.28,2.33,0.000,Sahr Mian ,27/08/2020,,no previous estimate,,,,,,
,,,,,,,,,310.06,541.24,2.37,3.27,1.320,,,,,,,,,,,,,,,,,,
,,,,,,,,,316.12,556.55,2.68,3.36,1.320,,,,,,,,,,,,,,,,,,
RBGE,DB1412,DTOL,Bryophyte,Plagiomniaceae,Plagiomnium,undulata,<Petro,GPB3%PVPBmet,231.3,470.63,2.55,2.92,4.063,240.22,479.8433333,2.25,1.13,1.10,2.94,2.83,0.136,Sahr Mian ,27/08/2020,,,,,,,,
,,,,,,,,,238.54,476.76,2.99,2.9,3.926,,,,,,,,,,,,,,,,,,
,,,,,,,,,250.82,492.14,3.29,2.66,3.791,,,,,,,,,,,,,,,,,,
RBGE,DB1411,DTOL,Bryophyte,Brachytheciaceae,Kindbergia,praelonga,<Solanum,GPB3%PVPBmet,294.93,715.43,3.69,2.56,4.801,310.9666667,736.1166667,0.84,0.42,0.41,3.78,2.42,0.142,Sahr Mian ,27/08/2020,,,,,,,,
,,,,,,,,,310.67,733.81,3.99,2.46,4.643,,,,,,,,,,,,,,,,,,
,,,,,,,,,327.3,759.11,3.65,2.23,4.518,,,,,,,,,,,,,,,,,,
RBGK,MC9066,DTOL,Angiosperm,Menyanthaceae,Nymphoides,peltata,<Petro,GPB3%PVPBmet,216.25,558.37,2.84,2.26,2.582,221.41,564.6433333,1.76,0.88,0.86,2.73,2.27,0.033,Sahr Mian ,1/9/2020,KDTOL10070, 1.4 (1988)*,,,,,,
